Date;Hour;D.vien (grados);H (%);Precipitación (l/m2);Tº (ºC);V.vien (m/s)
18/10/2017;01:00;272;88;0;18,2;0,4
17/10/2017;24:00;114;88;0;18,3;1,28
17/10/2017;23:00;208;87;0;18,3;0,38
17/10/2017;22:00;322;87;0;18,4;1,24
17/10/2017;21:00;331;87;0;18,4;1
17/10/2017;20:00;329;88;0;18,5;1,34
17/10/2017;19:00;347;87;0;18,8;1,48
17/10/2017;18:00;341;85;0,1;19;2,68
17/10/2017;17:00;332;80;0,1;19,7;3,04
17/10/2017;16:00;315;69;0;21,3;4,81
17/10/2017;15:00;109;44;0;25,7;1,58
17/10/2017;14:00;131;43;0;25,8;3,85
17/10/2017;13:00;141;41;0;25,8;4,28
17/10/2017;12:00;145;40;0;26,1;5,15
17/10/2017;11:00;123;45;0;25,5;1,53
17/10/2017;10:00;90;53;0;23,2;2,29
17/10/2017;09:00;113;58;0;21,3;5,14
17/10/2017;08:00;117;61;0;20,4;4,52
17/10/2017;07:00;96;64;0;19,9;3,61
17/10/2017;06:00;113;74;0;18,6;2,18
17/10/2017;05:00;123;80;0;17,5;3,25
17/10/2017;04:00;133;85;0;16,8;3,81
17/10/2017;03:00;130;86;0;16,6;3,78
17/10/2017;02:00;127;85;0;17;2,33
17/10/2017;01:00;127;85;0;17,4;2,28
16/10/2017;24:00;136;84;0;17,7;2,2
16/10/2017;23:00;119;82;0;18,6;1,5
16/10/2017;22:00;66;82;0;18,8;0,83
16/10/2017;21:00;52;81;0;19,2;1,28
16/10/2017;20:00;11;80;0;19,4;1,21
16/10/2017;19:00;346;78;0;19,6;2,22
16/10/2017;18:00;328;75;0;20;2,44
16/10/2017;17:00;319;73;0;20,4;3,53
16/10/2017;16:00;311;72;0;21;4,19
16/10/2017;15:00;312;70;0;21,7;4,63
16/10/2017;14:00;327;68;0;21,8;5,42
16/10/2017;13:00;324;67;0;22,2;6,28
16/10/2017;12:00;310;53;0;25,3;5,36
16/10/2017;11:00;153;41;0;27,4;1,56
16/10/2017;10:00;150;42;0;26,5;2,84
16/10/2017;09:00;131;45;0;25,7;0,38
16/10/2017;08:00;316;47;0;24,7;0,3
16/10/2017;07:00;304;46;0;24,5;0,09
16/10/2017;06:00;52;49;0;24,2;0,46
16/10/2017;05:00;51;52;0;24;2,23
16/10/2017;04:00;347;50;0;24,7;0,16
16/10/2017;03:00;350;53;0;24,5;0,62
16/10/2017;02:00;19;54;0;24,5;1,77
16/10/2017;01:00;349;53;0;24,6;1,45
15/10/2017;24:00;16;56;0;24,2;1,59
15/10/2017;23:00;35;55;0;24,3;1,94
15/10/2017;22:00;23;54;0;24,2;1,15
15/10/2017;21:00;119;51;0;25;2,7
15/10/2017;20:00;144;49;0;26;2,78
15/10/2017;19:00;137;45;0;27,3;2,81
15/10/2017;18:00;128;41;0;28,6;3,6
15/10/2017;17:00;138;39;0;29,6;3,37
15/10/2017;16:00;130;37;0;30,7;3,65
15/10/2017;15:00;129;38;0;30,9;3,58
15/10/2017;14:00;130;42;0;29,5;3,69
15/10/2017;13:00;61;42;0;28,8;0,02
15/10/2017;12:00;63;45;0;27,9;0,53
15/10/2017;11:00;231;47;0;26,6;0,47
15/10/2017;10:00;68;49;0;25,9;0,51
15/10/2017;09:00;21;55;0;24;0,86
15/10/2017;08:00;6;56;0;23,4;0,78
15/10/2017;07:00;37;58;0;22,8;0,43
15/10/2017;06:00;336;58;0;23,1;0,25
15/10/2017;05:00;168;58;0;23,2;0,34
15/10/2017;04:00;36;58;0;23,4;0,29
15/10/2017;03:00;193;57;0;23,7;0,59
15/10/2017;02:00;202;56;0;24;0,81
15/10/2017;01:00;209;55;0;24,3;0,89
14/10/2017;24:00;180;54;0;24,7;1,51
14/10/2017;23:00;176;53;0;24,9;3,07
14/10/2017;22:00;167;53;0;25,1;2,75
14/10/2017;21:00;168;51;0;25,4;2,28
14/10/2017;20:00;154;49;0;26,1;1,21
14/10/2017;19:00;135;48;0;26,8;2,5
14/10/2017;18:00;123;42;0;28,6;2,52
14/10/2017;17:00;157;38;0;30;1,7
14/10/2017;16:00;146;37;0;30,6;3,21
14/10/2017;15:00;157;37;0;30,5;3,42
14/10/2017;14:00;148;40;0;30,1;2,73
14/10/2017;13:00;160;41;0;29,7;2,1
14/10/2017;12:00;320;48;0;28,1;0,9
14/10/2017;11:00;307;59;0;25,8;0,51
14/10/2017;10:00;112;72;0;22;1,58
14/10/2017;09:00;127;83;0;18,7;3,06
14/10/2017;08:00;123;86;0;17,5;2,95
14/10/2017;07:00;116;86;0;17,5;2,11
14/10/2017;06:00;114;85;0;18;1,65
14/10/2017;05:00;134;85;0;18,2;1,14
14/10/2017;04:00;115;85;0;18,2;0,96
14/10/2017;03:00;129;84;0;18,3;1,6
14/10/2017;02:00;145;84;0;18,5;1,5
14/10/2017;01:00;158;83;0;18,7;0,33
13/10/2017;24:00;69;83;0;18,8;0,28
13/10/2017;23:00;36;83;0;18,7;0,51
13/10/2017;22:00;52;83;0;18,6;0,72
13/10/2017;21:00;23;83;0;18,7;0,72
13/10/2017;20:00;1;82;0;18,7;0,74
13/10/2017;19:00;355;82;0;18,8;0,95
13/10/2017;18:00;352;82;0;19,1;1,7
13/10/2017;17:00;329;82;0;19,2;3,29
13/10/2017;16:00;327;82;0;19,3;4,45
13/10/2017;15:00;316;81;0;19,7;5,14
13/10/2017;14:00;307;77;0;20,5;5,51
13/10/2017;13:00;302;71;0;21,1;5,15
13/10/2017;12:00;302;69;0;21,3;4,61
13/10/2017;11:00;300;64;0;22,1;3,92
13/10/2017;10:00;104;62;0;22,2;0,66
13/10/2017;09:00;111;70;0;19,1;1,37
13/10/2017;08:00;123;76;0;17;1,68
13/10/2017;07:00;126;79;0;16,1;2,03
13/10/2017;06:00;134;80;0;15,9;2,53
13/10/2017;05:00;122;83;0;15,4;2,57
13/10/2017;04:00;124;84;0;15,1;2,01
13/10/2017;03:00;129;85;0;15,2;2,65
13/10/2017;02:00;132;86;0;15,5;2,31
13/10/2017;01:00;126;85;0;15,9;2,59
12/10/2017;24:00;130;85;0;16,3;2,55
12/10/2017;23:00;129;85;0;16,8;2,4
12/10/2017;22:00;129;82;0;17,8;1,65
12/10/2017;21:00;136;79;0;18,6;0,65
12/10/2017;20:00;170;76;0;19,2;0,4
12/10/2017;19:00;282;73;0;19,9;0,36
12/10/2017;18:00;293;70;0;20,7;2,07
12/10/2017;17:00;308;67;0;21,9;2,91
12/10/2017;16:00;306;62;0;23;3,91
12/10/2017;15:00;294;57;0;24;3,15
12/10/2017;14:00;293;55;0;23,9;3,18
12/10/2017;13:00;301;49;0;24,7;0,98
12/10/2017;12:00;105;61;0;21,8;1,77
12/10/2017;11:00;123;71;0;19,2;1,75
12/10/2017;10:00;117;84;0;16,5;2,01
12/10/2017;09:00;119;90;0;14,1;2,09
12/10/2017;08:00;119;92;0;12,8;2,39
12/10/2017;07:00;119;92;0;12,7;2,23
12/10/2017;06:00;125;91;0;13;1,99
12/10/2017;05:00;125;90;0;13,4;1,79
12/10/2017;04:00;124;89;0;13,8;2
12/10/2017;03:00;131;88;0;14,3;1,71
12/10/2017;02:00;123;87;0;14,9;1,62
12/10/2017;01:00;128;86;0;15,6;1,44
11/10/2017;24:00;135;84;0;16,2;1,54
11/10/2017;23:00;166;81;0;17;1,05
11/10/2017;22:00;153;79;0;17,6;0,49
11/10/2017;21:00;126;79;0;18,3;0,55
11/10/2017;20:00;338;79;0;18,8;1,54
11/10/2017;19:00;334;79;0;19;2,97
11/10/2017;18:00;336;79;0;19,1;4,24
11/10/2017;17:00;338;78;0;19,4;5,21
11/10/2017;16:00;340;76;0;20;4,65
11/10/2017;15:00;336;70;0;20,9;5,12
11/10/2017;14:00;337;55;0;22;5,6
11/10/2017;13:00;331;45;0;22,9;4,35
11/10/2017;12:00;296;44;0;23,1;4,56
11/10/2017;11:00;289;36;0;24,2;2,64
11/10/2017;10:00;131;38;0;23,2;0,24
11/10/2017;09:00;57;53;0;19,9;0,56
11/10/2017;08:00;121;68;0;16;1,36
11/10/2017;07:00;121;76;0;14,2;2,75
11/10/2017;06:00;120;84;0;13,4;2,35
11/10/2017;05:00;136;86;0;13,1;2,07
11/10/2017;04:00;133;87;0;13,4;2,31
11/10/2017;03:00;130;87;0;13,8;2,62
11/10/2017;02:00;131;87;0;14,4;2,32
11/10/2017;01:00;139;87;0;14,8;2,21
10/10/2017;24:00;130;87;0;15,2;2
10/10/2017;23:00;126;86;0;15,8;2,29
10/10/2017;22:00;132;84;0;16,3;2,16
10/10/2017;21:00;139;82;0;17,1;1,64
10/10/2017;20:00;140;79;0;17,8;1,41
10/10/2017;19:00;297;77;0;18,5;0,73
10/10/2017;18:00;296;73;0;19,2;3,09
10/10/2017;17:00;312;70;0;20,5;3,53
10/10/2017;16:00;321;66;0;21,1;4,19
10/10/2017;15:00;306;63;0;21,9;3,24
10/10/2017;14:00;291;57;0;22,4;2,39
10/10/2017;13:00;286;56;0;22,3;1,33
10/10/2017;12:00;326;61;0;21,2;0,66
10/10/2017;11:00;77;70;0;18,5;0,36
10/10/2017;10:00;133;80;0;15,2;1,13
10/10/2017;09:00;122;86;0;12,8;1,43
10/10/2017;08:00;127;89;0;11,2;2
10/10/2017;07:00;123;90;0;10,5;2,22
10/10/2017;06:00;127;89;0;10,7;1,99
10/10/2017;05:00;117;88;0;11,1;1,67
10/10/2017;04:00;132;88;0;11,5;2,21
10/10/2017;03:00;124;87;0;11,9;2,08
10/10/2017;02:00;137;86;0;12,6;1,9
10/10/2017;01:00;120;85;0;13;1,7
09/10/2017;24:00;129;83;0;13,6;2,09
09/10/2017;23:00;127;80;0;14,4;1,57
09/10/2017;22:00;146;76;0;15,4;1,38
09/10/2017;21:00;104;72;0;16,3;0,31
09/10/2017;20:00;214;70;0;17;0,12
09/10/2017;19:00;306;68;0;17,6;1,55
09/10/2017;18:00;287;65;0;18,5;2,99
09/10/2017;17:00;303;61;0;20,2;4,56
09/10/2017;16:00;315;59;0;21,1;4,4
09/10/2017;15:00;300;58;0;21,4;4,3
09/10/2017;14:00;293;51;0;22,3;2,66
09/10/2017;13:00;294;49;0;22,2;0,73
09/10/2017;12:00;284;54;0;21;0,5
09/10/2017;11:00;13;62;0;18;0,45
09/10/2017;10:00;125;71;0;15,1;1,13
09/10/2017;09:00;118;78;0;12,6;1,4
09/10/2017;08:00;119;83;0;10,6;1,99
09/10/2017;07:00;125;86;0;9,8;2,12
09/10/2017;06:00;124;86;0;9,8;2,16
09/10/2017;05:00;126;86;0;10,1;2,22
09/10/2017;04:00;129;86;0;10,5;2,24
09/10/2017;03:00;124;85;0;11,1;2,15
09/10/2017;02:00;127;84;0;11,5;1,87
09/10/2017;01:00;128;83;0;12;2,51
08/10/2017;24:00;127;81;0;12,7;2,02
08/10/2017;23:00;128;77;0;13,5;1,8
08/10/2017;22:00;152;72;0;14,7;0,93
08/10/2017;21:00;134;69;0;15,4;0,18
08/10/2017;20:00;311;67;0;16,3;0,19
08/10/2017;19:00;302;64;0;17;1,79
08/10/2017;18:00;295;62;0;18,1;3,09
08/10/2017;17:00;291;57;0;19,8;3,74
08/10/2017;16:00;314;56;0;20,5;4,21
08/10/2017;15:00;312;56;0;21;3,96
08/10/2017;14:00;293;50;0;21,5;3,29
08/10/2017;13:00;286;50;0;21,4;1,23
08/10/2017;12:00;274;57;0;20,2;0,29
08/10/2017;11:00;163;66;0;17,8;0,4
08/10/2017;10:00;115;75;0;14,6;1,03
08/10/2017;09:00;117;82;0;12;1,36
08/10/2017;08:00;119;86;0;10;2,28
08/10/2017;07:00;120;88;0;9,2;1,97
08/10/2017;06:00;125;88;0;9,5;1,88
08/10/2017;05:00;128;87;0;9,9;2,29
08/10/2017;04:00;124;87;0;10,3;2,24
08/10/2017;03:00;128;86;0;10,8;1,88
08/10/2017;02:00;130;86;0;11,2;2,47
08/10/2017;01:00;128;84;0;11,8;2,04
07/10/2017;24:00;125;83;0;12,2;2,23
07/10/2017;23:00;113;80;0;13;2
07/10/2017;22:00;128;74;0;14;1,76
07/10/2017;21:00;118;71;0;14,8;1,82
07/10/2017;20:00;117;69;0;15,5;1,31
07/10/2017;19:00;296;67;0;16,5;1,6
07/10/2017;18:00;30;62;0;17,6;1,1
07/10/2017;17:00;6;58;0;19,2;2,08
07/10/2017;16:00;23;55;0;20;2,33
07/10/2017;15:00;19;51;0;20,8;1,42
07/10/2017;14:00;5;50;0;21,1;0,57
07/10/2017;13:00;25;54;0;19,5;1,02
07/10/2017;12:00;37;61;0;18,5;0,99
07/10/2017;11:00;322;72;0;17,6;0,45
07/10/2017;10:00;122;84;0;14,7;1,27
07/10/2017;09:00;110;87;0;12,8;2,3
07/10/2017;08:00;120;89;0;12;2,76
07/10/2017;07:00;122;90;0;11,8;2,37
07/10/2017;06:00;124;90;0;11,9;1,96
07/10/2017;05:00;120;90;0;11,9;1,27
07/10/2017;04:00;119;90;0;12,1;1,59
07/10/2017;03:00;126;89;0;12,4;1,49
07/10/2017;02:00;125;87;0;13,1;1,51
07/10/2017;01:00;143;85;0;14;0,94
06/10/2017;24:00;116;84;0;14,6;0,14
06/10/2017;23:00;288;81;0;15,1;0,94
06/10/2017;22:00;302;78;0;15,8;0,61
06/10/2017;21:00;48;76;0;16,2;0,33
06/10/2017;20:00;9;76;0;16,5;0,78
06/10/2017;19:00;360;77;0;16,7;2,16
06/10/2017;18:00;349;78;0;17,1;1,49
06/10/2017;17:00;329;79;0;17,4;2,11
06/10/2017;16:00;325;85;0;17,3;2,08
06/10/2017;15:00;323;90;0;17,1;2,71
06/10/2017;14:00;301;92;0,1;17,2;3,45
06/10/2017;13:00;291;91;0,1;17;3,5
06/10/2017;12:00;304;90;0,2;17,1;3,96
06/10/2017;11:00;310;85;0;17,4;4,27
06/10/2017;10:00;304;82;0;17,5;4,41
06/10/2017;09:00;304;82;0;17,5;1,89
06/10/2017;08:00;287;81;0;17,4;1,94
