Date;Hour;Benceno (µg/m3);M-P-XILENO (µg/m3);Tolueno (µg/m3);D.vien (grados);V.vien (m/s)
19/10/2017;12:00;0,48;0,56;0,66;177;0,61
19/10/2017;11:00;0,6;0,81;1,15;190;0,95
19/10/2017;10:00;0,57;0,63;0,76;209;0,66
19/10/2017;09:00;0,62;0,74;1,01;204;0,21
19/10/2017;08:00;0,75;0,95;1,48;186;0,36
19/10/2017;07:00;0,57;0,5;0,83;164;0,38
19/10/2017;06:00;0,48;0,44;0,49;211;0,47
19/10/2017;05:00;0,48;0,26;0,46;195;0,42
19/10/2017;04:00;0,48;0,04;0,3;189;0,46
19/10/2017;03:00;0,5;0,03;0,29;223;1
19/10/2017;02:00;0,58;0,1;0,33;220;1,05
19/10/2017;01:00;0,48;0,31;0,31;226;1,02
18/10/2017;24:00;0,48;0,48;0,43;241;0,77
18/10/2017;23:00;0,48;0,43;0,37;169;0,1
18/10/2017;22:00;0,48;0,5;0,4;233;0,59
18/10/2017;21:00;0,58;0,53;0,59;232;0,48
18/10/2017;20:00;0,62;0,5;0,71;241;0,5
18/10/2017;19:00;0,66;0,81;0,87;242;0,4
18/10/2017;18:00;0,76;0,93;1,15;262;0,57
18/10/2017;17:00;0,87;1,03;1,38;283;1,11
18/10/2017;16:00;0,68;0,7;0,9;263;0,58
18/10/2017;15:00;0,73;1,06;1,3;230;0,36
18/10/2017;14:00;0,68;1,29;1,32;151;0,24
18/10/2017;13:00;0,79;1,52;1,49;267;0,22
18/10/2017;12:00;0,93;1,42;1,45;246;0,31
18/10/2017;11:00;1;1,79;1,99;260;0,25
18/10/2017;10:00;0,95;0,89;1,16;218;0,31
18/10/2017;09:00;0,89;0,95;1,05;190;0,47
18/10/2017;08:00;0,91;1,73;1,35;171;0,96
18/10/2017;07:00;1,86;6,03;4,49;180;0,91
18/10/2017;06:00;2,96;10,75;7,57;107;0,06
18/10/2017;05:00;1,52;1,64;2,43;152;0,22
18/10/2017;04:00;2,34;2,11;3,61;148;0,37
18/10/2017;03:00;1,72;2,13;3,35;140;0,35
18/10/2017;02:00;1,64;1,87;2,95;154;0,29
18/10/2017;01:00;1,41;1,13;1,89;157;0,34
17/10/2017;24:00
17/10/2017;23:00;1,43;0,9;1,4;174;0,13
17/10/2017;22:00;1,59;1,07;1,64;159;0,33
17/10/2017;21:00;1,55;1,29;1,68;129;0,14
17/10/2017;20:00;1,81;2,24;2,33;55;0,14
17/10/2017;19:00;2,3;1,81;2,69;12;0,18
17/10/2017;18:00;1,66;1,84;2,34;100;0,33
17/10/2017;17:00;1,3;4,29;3,73;45;0,49
17/10/2017;16:00;1,31;3,15;7,99;340;1,2
17/10/2017;15:00;0,48;1,16;6,5;316;1,03
17/10/2017;14:00;0,43;0,62;0,73;149;0,76
17/10/2017;13:00;0,43;0,66;0,72;132;2,39
17/10/2017;12:00;0,31;0,47;0,45;153;1,65
17/10/2017;11:00;0,36;0,47;0,37;169;2,8
17/10/2017;10:00;0,34;0,5;0,37;181;2,11
17/10/2017;09:00;0,4;0,49;0,45;180;2,52
17/10/2017;08:00;0,41;0,48;0,48;173;3,32
17/10/2017;07:00;0,41;0,49;0,48;175;2,64
17/10/2017;06:00;0,41;0,48;0,48;167;2,32
17/10/2017;05:00;0,43;0,64;0,89;166;1,8
17/10/2017;04:00;0,96;1,65;4,59;167;1,88
17/10/2017;03:00;1,09;1,88;3,88;129;0,58
17/10/2017;02:00;0,76;1,38;3,31;121;0,76
17/10/2017;01:00;0,77;1,04;2,02;147;0,37
16/10/2017;24:00;0,74;0,91;1,49;132;0,45
16/10/2017;23:00;0,49;0,94;1,06;131;0,47
16/10/2017;22:00;0,45;0,78;0,86;89;0,39
16/10/2017;21:00;0,7;1,07;1,28;87;0,4
16/10/2017;20:00;0,68;1,03;0,91;66;0,37
16/10/2017;19:00;0,82;2,52;3,11;98;0,24
16/10/2017;18:00;0,88;1,85;1,57;14;0,41
16/10/2017;17:00;1,23;3,56;2,42;337;0,82
16/10/2017;16:00;1,25;4,72;3,42;329;1,84
16/10/2017;15:00;1,21;8,45;3,58;325;1,9
16/10/2017;14:00;1,3;6,52;2,57;330;2,89
16/10/2017;13:00;1,51;1,36;1,33;330;3,46
16/10/2017;12:00;1,43;0,83;1,19;329;3,32
16/10/2017;11:00;0,33;0,1;0,31;206;2,03
16/10/2017;10:00;0,32;0,2;0,3;193;4,13
16/10/2017;09:00;0,33;0,03;0,3;188;5,25
16/10/2017;08:00;0,31;0,05;0,27;190;5,6
16/10/2017;07:00;0,31;0,15;0,25;203;4,27
16/10/2017;06:00;0,31;0,04;0,18;191;4,21
16/10/2017;05:00;0,31;0,04;0,21;200;4
16/10/2017;04:00;0,31;0,03;0,18;196;2,99
16/10/2017;03:00;0,31;0,04;0,21;213;3,5
16/10/2017;02:00;0,31;0,04;0,18;205;3,6
16/10/2017;01:00;0,31;0,12;0,18;197;3,86
15/10/2017;24:00;0,32;0,27;0,28;180;3,46
15/10/2017;23:00;0,36;0,42;0,3;190;3,13
15/10/2017;22:00;0,57;0,69;0,6;178;4,44
15/10/2017;21:00;0,61;0,68;0,7;202;0,23
15/10/2017;20:00;0,75;0,81;0,95;128;0,34
15/10/2017;19:00;0,68;0,82;1,13;154;0,52
15/10/2017;18:00;0,45;0,46;0,55;125;1,06
15/10/2017;17:00;0,45;0,65;0,78;157;1,95
15/10/2017;16:00;0,47;0,59;0,7;168;1,8
15/10/2017;15:00;0,36;0,47;0,3;181;2,28
15/10/2017;14:00;0,41;0,6;0,44;188;3,11
15/10/2017;13:00;0,41;0,55;0,35;195;2,08
15/10/2017;12:00;0,41;0,45;0,32;190;3,75
15/10/2017;11:00;0,41;0,51;0,29;178;4,09
15/10/2017;10:00;0,41;0,38;0,29;205;5,42
15/10/2017;09:00;0,41;0,4;0,29;185;3,82
15/10/2017;08:00;0,41;0,32;0,29;178;4,34
15/10/2017;07:00;0,41;0,47;0,29;176;4,08
15/10/2017;06:00;0,41;0,47;0,29;177;2,79
15/10/2017;05:00;0,41;0,53;0,33;189;3,41
15/10/2017;04:00;0,41;0,51;0,33;186;4,13
15/10/2017;03:00;0,41;0,53;0,38;167;2,09
15/10/2017;02:00;0,41;0,48;0,38;173;2,26
15/10/2017;01:00;0,5;0,64;0,54;163;1,53
14/10/2017;24:00;0,53;0,92;0,66;156;1,07
14/10/2017;23:00;0,71;1,18;1;169;0,95
14/10/2017;22:00;0,84;1,81;1,51;84;0,19
14/10/2017;21:00;1,46;3,5;3,06;123;0,91
14/10/2017;20:00;1,9;6,38;5,89;123;1,32
14/10/2017;19:00;3,22;11,39;9,35;143;0,46
14/10/2017;18:00;3,92;10,8;8,49;194;0,25
14/10/2017;17:00;4,22;10,21;7,2;245;0,34
14/10/2017;16:00;4,57;8,41;5,85;295;0,24
14/10/2017;15:00;2,01;2,98;2,46;339;0,39
14/10/2017;14:00;0,6;0,77;0,65;165;1,64
14/10/2017;13:00;0,58;0,88;0,79;171;1,88
14/10/2017;12:00;0,76;1,07;1,15;143;0,94
14/10/2017;11:00;1,04;1,93;1,75;171;0,23
14/10/2017;10:00;1,49;2,95;2,84;219;0,42
14/10/2017;09:00;1,65;1,63;2,66;171;0,29
14/10/2017;08:00;1,2;1,47;2,54;117;0,44
14/10/2017;07:00;1,15;1,03;1,93;162;0,37
14/10/2017;06:00;1,19;0,97;1,7;170;0,36
14/10/2017;05:00;1,32;0,92;1,67;137;0,42
14/10/2017;04:00;1,3;0,84;1,45;133;0,4
14/10/2017;03:00;1,64;1,02;1,63;147;0,42
14/10/2017;02:00;1,89;1,68;2,93;131;0,45
14/10/2017;01:00;1,75;1,42;2,59;149;0,38
13/10/2017;24:00;1,29;0,99;1,81;140;0,39
13/10/2017;23:00;1,33;0,97;1,52;122;0,35
13/10/2017;22:00;1,69;0,97;1,55;118;0,42
13/10/2017;21:00;1,99;1,3;2,08;81;0,34
13/10/2017;20:00;1,55;0,88;1,34;75;0,35
13/10/2017;19:00;1,28;1,09;1,76;90;0,38
13/10/2017;18:00;1,24;0,69;1,02;89;0,21
13/10/2017;17:00;1,21;0,74;0,94;360;0,47
13/10/2017;16:00;1,17;0,9;0,98;341;1,56
13/10/2017;15:00;1,69;2,07;1,93;335;1,96
13/10/2017;14:00;2,58;3,71;2,99;329;2,8
13/10/2017;13:00;3,1;4,85;3,89;328;2,79
13/10/2017;12:00;3,17;4,89;4,08;326;2,01
13/10/2017;11:00;3,24;4,92;4,86;327;1,65
13/10/2017;10:00;2,43;3,76;5,27;355;0,4
13/10/2017;09:00;3;4,63;5,69;93;0,34
13/10/2017;08:00;3,1;4,64;5,49;139;0,35
13/10/2017;07:00;3,19;4,45;4,5;108;0,32
13/10/2017;06:00;2,9;2,01;3,57;106;0,25
13/10/2017;05:00;3,46;1,96;3,57;116;0,5
13/10/2017;04:00;4,11;1,9;3,75;114;0,49
13/10/2017;03:00;3,74;1,91;3,84;113;0,69
13/10/2017;02:00;2,89;2;3,74;110;0,95
13/10/2017;01:00;2,66;2,59;4,71;114;0,84
12/10/2017;24:00;2,06;3,02;5,26;108;0,52
12/10/2017;23:00;1,94;3,33;5,21;113;0,44
12/10/2017;22:00;1,51;3,11;4;130;0,41
12/10/2017;21:00;1,8;3,43;4,18;135;0,46
12/10/2017;20:00;1,96;3,02;4,01;143;0,44
12/10/2017;19:00;1,45;2,36;2,57;141;0,43
12/10/2017;18:00;1,71;2,83;2,56;37;0,21
12/10/2017;17:00;2,29;3,45;3,2;318;0,46
12/10/2017;16:00;2,17;4,06;3,21;322;1,71
12/10/2017;15:00;2,87;5,32;4,28;329;2,36
12/10/2017;14:00;2,48;4,31;3,91;330;1,24
12/10/2017;13:00;2,23;2,36;3,1;329;2,23
12/10/2017;12:00;1,94;2,36;3,88;91;0,62
12/10/2017;11:00;2,31;2,37;4,2;90;0,61
12/10/2017;10:00;2,37;2,27;4,14;103;0,67
12/10/2017;09:00;1,4;2,34;4,7;100;0,74
12/10/2017;08:00;0,85;1,59;4,48;108;0,52
12/10/2017;07:00;0,9;1,56;4,71;111;0,45
12/10/2017;06:00;0,84;1,71;4,59;114;0,42
12/10/2017;05:00;0,91;1,87;4,44;113;0,46
12/10/2017;04:00;0,77;1,8;4,41;114;0,45
12/10/2017;03:00;0,8;2,1;4,87;118;0,41
12/10/2017;02:00;0,81;2,05;4,67;122;0,41
12/10/2017;01:00;0,81;1,91;3,57;132;0,4
11/10/2017;24:00;0,67;0,97;1,42;138;0,41
11/10/2017;23:00;0,6;0,83;1,05;151;0,44
11/10/2017;22:00;0,77;1,03;1,32;146;0,44
11/10/2017;21:00;1,18;1,61;2,1;141;0,5
11/10/2017;20:00;1,31;1,33;1,88;121;0,25
11/10/2017;19:00;1,17;1,26;1,31;290;0,18
11/10/2017;18:00;1,28;1,5;1,47;330;1,48
11/10/2017;17:00;1,18;1,5;1,32;335;2,72
11/10/2017;16:00;1,24;1,54;1,35;335;2,99
11/10/2017;15:00;1,34;2,06;1,93;331;2,54
11/10/2017;14:00;2,04;2,28;2,53;326;3,35
11/10/2017;13:00;2,19;3,35;2,65;326;3,22
11/10/2017;12:00;2,49;12,27;7,55;332;1,24
11/10/2017;11:00;1,19;4,55;3,83;306;0,27
11/10/2017;10:00;0,34;0,53;0,7;209;2,61
11/10/2017;09:00;0,36;0,79;0,86;188;4,01
11/10/2017;08:00;0,66;1,75;2,37;192;3,89
11/10/2017;07:00;1,17;2,9;4,41;136;1,01
11/10/2017;06:00;1,05;2,27;4,61;120;0,71
11/10/2017;05:00;0,96;2,3;4,5;114;0,74
11/10/2017;04:00;0,88;2,28;4,55;113;0,56
11/10/2017;03:00;0,74;2,48;4,76;106;0,69
11/10/2017;02:00;0,86;3,08;5,7;96;0,66
11/10/2017;01:00;1,17;3,57;5,71;106;0,83
10/10/2017;24:00;1,37;4,35;6,45;109;0,5
10/10/2017;23:00;1,2;5,04;6,59;107;0,49
10/10/2017;22:00;1,08;4,08;5,35;120;0,46
10/10/2017;21:00;0,84;2,72;2,93;133;0,43
10/10/2017;20:00;1,02;3,47;3,7;142;0,42
10/10/2017;19:00;1,01;4,27;5,08;137;0,44
10/10/2017;18:00;0,96;2,7;2,42;149;0,24
10/10/2017;17:00;1,39;2,13;3,09;286;0,53
10/10/2017;16:00;2,22;3,32;4,37;325;2,39
10/10/2017;15:00;2,05;3,01;4,16;323;1,6
10/10/2017;14:00;0,87;2,27;3,28;307;0,7
10/10/2017;13:00;0,79;3,48;5,4;5;0,36
10/10/2017;12:00;0,89;7,01;11,6;106;0,86
10/10/2017;11:00;1,78;10,08;14,48;73;0,3
10/10/2017;10:00;2,06;9,08;11,87;56;0,33
10/10/2017;09:00;1,45;4,84;10,05;79;0,38
10/10/2017;08:00;0,86;2,6;6,66;86;0,4
10/10/2017;07:00;0,85;2,43;5,46;99;0,42
10/10/2017;06:00;0,66;1,94;5,35;107;0,44
10/10/2017;05:00;0,81;2,19;4,54;106;0,45
10/10/2017;04:00;0,98;2,09;4,58;110;0,46
10/10/2017;03:00;1,14;2,16;4,93;110;0,45
10/10/2017;02:00;1,29;2,19;4,48;113;0,46
10/10/2017;01:00;1,08;2,18;4,09;116;0,46
09/10/2017;24:00;0,61;1,59;2,41;122;0,44
09/10/2017;23:00;0,59;1,3;1,83;138;0,45
09/10/2017;22:00;0,71;1,58;2;135;0,46
09/10/2017;21:00;0,62;1,14;1,38;131;0,45
09/10/2017;20:00;0,59;1,43;1,41;155;0,36
09/10/2017;19:00;0,71;1,49;1,76;181;0,4
09/10/2017;18:00;0,83;3,07;2,51;190;0,15
09/10/2017;17:00;1,46;6,96;5,46;340;0,76
09/10/2017;16:00;1,45;6,42;6,14;327;2,02
09/10/2017;15:00;1,44;3,41;4,39;332;1,17
09/10/2017;14:00;1,84;2,62;4,19;337;1,19
09/10/2017;13:00;1,2;2,37;3,58;23;0,34
09/10/2017;12:00;1,34;3,51;5,04;79;0,98
