Date;Hour;CO (mg/m3);CO - ICA;CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA
25/10/2017;12:00;0,52;"Muy buena / ";0,56;44;50;Muy buena / Oso ona;117;36;Muy buena / Oso ona;15;Muy buena / Oso ona
25/10/2017;11:00;0,61;"Muy buena / ";0,53;90;62;Muy buena / Oso ona;199;20;Muy buena / Oso ona;0;Muy buena / Oso ona
25/10/2017;10:00;0,71;"Muy buena / ";0,48;120;63;Muy buena / Oso ona;246;24;Muy buena / Oso ona;8;Muy buena / Oso ona
25/10/2017;09:00;0,6;"Muy buena / ";0,42;90;51;Muy buena / Oso ona;188;38;Muy buena / Oso ona;14;Muy buena / Oso ona
25/10/2017;08:00;0,58;"Muy buena / ";0,38;107;47;Muy buena / Oso ona;210;38;Muy buena / Oso ona;15;Muy buena / Oso ona
25/10/2017;07:00;0,72;"Muy buena / ";0,35;145;48;Muy buena / Oso ona;271;22;Muy buena / Oso ona;12;Muy buena / Oso ona
25/10/2017;06:00;0,52;"Muy buena / ";0,3;76;37;Muy buena / Oso ona;154;19;Muy buena / Oso ona;7;Muy buena / Oso ona
25/10/2017;05:00;0,29;"Muy buena / ";0,3;21;31;Muy buena / Oso ona;63;13;Muy buena / Oso ona;7;Muy buena / Oso ona
25/10/2017;04:00;0,24;"Muy buena / ";0,3;9;28;Muy buena / Oso ona;41;13;Muy buena / Oso ona;28;Buena / Ona
25/10/2017;03:00;0,25;"Muy buena / ";;8;26;Muy buena / Oso ona;38;13;Muy buena / Oso ona;7;Muy buena / Oso ona
25/10/2017;02:00;0,24;"Muy buena / ";;8;26;Muy buena / Oso ona;38;10;Muy buena / Oso ona;0;Muy buena / Oso ona
25/10/2017;01:00;0,25;"Muy buena / ";;9;24;Muy buena / Oso ona;37;11;Muy buena / Oso ona;5;Muy buena / Oso ona
24/10/2017;24:00;0,29;"Muy buena / ";;15;29;Muy buena / Oso ona;53;11;Muy buena / Oso ona;6;Muy buena / Oso ona
24/10/2017;23:00;0,35;"Muy buena / ";;24;32;Muy buena / Oso ona;68;19;Muy buena / Oso ona;8;Muy buena / Oso ona
24/10/2017;22:00;0,5;"Muy buena / ";;51;36;Muy buena / Oso ona;114;35;Muy buena / Oso ona;17;Muy buena / Oso ona
24/10/2017;21:00;;"Sin datos / ";;155;45;Muy buena / Oso ona;283;25;Muy buena / Oso ona;11;Muy buena / Oso ona
24/10/2017;20:00;0,66;"Muy buena / ";;79;46;Muy buena / Oso ona;166;29;Muy buena / Oso ona;11;Muy buena / Oso ona
24/10/2017;19:00;0,56;"Muy buena / ";0,5;73;48;Muy buena / Oso ona;159;76;Mejorable / Hobetzeko modukoa;30;Buena / Ona
24/10/2017;18:00;;"Sin datos / ";0,46;190;71;Muy buena / Oso ona;362;;Sin datos / Daturik gabe;37;Buena / Ona
24/10/2017;17:00;;"Sin datos / ";0,44;147;78;Muy buena / Oso ona;304;78;Mejorable / Hobetzeko modukoa;20;Muy buena / Oso ona
24/10/2017;16:00;0,55;"Muy buena / ";0,42;57;56;Muy buena / Oso ona;143;59;Buena / Ona;14;Muy buena / Oso ona
24/10/2017;15:00;0,55;"Muy buena / ";0,39;52;58;Muy buena / Oso ona;137;51;Buena / Ona;18;Muy buena / Oso ona
24/10/2017;14:00;0,47;"Muy buena / ";0,36;47;54;Muy buena / Oso ona;126;25;Muy buena / Oso ona;14;Muy buena / Oso ona
24/10/2017;13:00;0,47;"Muy buena / ";0,33;51;59;Muy buena / Oso ona;137;24;Muy buena / Oso ona;8;Muy buena / Oso ona
24/10/2017;12:00;0,44;"Muy buena / ";0,3;48;54;Muy buena / Oso ona;127;27;Muy buena / Oso ona;4;Muy buena / Oso ona
24/10/2017;11:00;0,32;"Muy buena / ";0,27;34;44;Muy buena / Oso ona;96;7;Muy buena / Oso ona;0;Muy buena / Oso ona
24/10/2017;10:00;0,32;"Muy buena / ";0,25;35;46;Muy buena / Oso ona;100;8;Muy buena / Oso ona;0;Muy buena / Oso ona
24/10/2017;09:00;0,29;"Muy buena / ";0,24;30;43;Muy buena / Oso ona;89;16;Muy buena / Oso ona;0;Muy buena / Oso ona
24/10/2017;08:00;0,26;"Muy buena / ";0,22;25;44;Muy buena / Oso ona;82;14;Muy buena / Oso ona;7;Muy buena / Oso ona
24/10/2017;07:00;0,32;"Muy buena / ";0,22;27;46;Muy buena / Oso ona;87;13;Muy buena / Oso ona;9;Muy buena / Oso ona
24/10/2017;06:00;0,26;"Muy buena / ";0,22;18;40;Muy buena / Oso ona;67;13;Muy buena / Oso ona;5;Muy buena / Oso ona
24/10/2017;05:00;0,19;"Muy buena / ";0,23;9;29;Muy buena / Oso ona;42;12;Muy buena / Oso ona;8;Muy buena / Oso ona
24/10/2017;04:00;0,19;"Muy buena / ";0,26;6;26;Muy buena / Oso ona;35;12;Muy buena / Oso ona;7;Muy buena / Oso ona
24/10/2017;03:00;0,19;"Muy buena / ";0,3;5;21;Muy buena / Oso ona;30;10;Muy buena / Oso ona;4;Muy buena / Oso ona
24/10/2017;02:00;0,19;"Muy buena / ";0,35;6;21;Muy buena / Oso ona;29;12;Muy buena / Oso ona;22;Muy buena / Oso ona
24/10/2017;01:00;0,2;"Muy buena / ";0,38;5;21;Muy buena / Oso ona;29;11;Muy buena / Oso ona;9;Muy buena / Oso ona
23/10/2017;24:00;0,22;"Muy buena / ";0,4;7;24;Muy buena / Oso ona;34;14;Muy buena / Oso ona;5;Muy buena / Oso ona
23/10/2017;23:00;0,31;"Muy buena / ";0,38;11;30;Muy buena / Oso ona;47;12;Muy buena / Oso ona;4;Muy buena / Oso ona
23/10/2017;22:00;0,36;"Muy buena / ";0,37;14;30;Muy buena / Oso ona;52;11;Muy buena / Oso ona;6;Muy buena / Oso ona
23/10/2017;21:00;0,39;"Muy buena / ";0,36;18;33;Muy buena / Oso ona;60;16;Muy buena / Oso ona;5;Muy buena / Oso ona
23/10/2017;20:00;0,48;"Muy buena / ";0,35;31;45;Muy buena / Oso ona;92;22;Muy buena / Oso ona;9;Muy buena / Oso ona
23/10/2017;19:00;0,55;"Muy buena / ";0,34;29;51;Muy buena / Oso ona;95;30;Muy buena / Oso ona;0;Muy buena / Oso ona
23/10/2017;18:00;0,41;"Muy buena / ";0,31;18;43;Muy buena / Oso ona;70;37;Muy buena / Oso ona;8;Muy buena / Oso ona
23/10/2017;17:00;0,34;"Muy buena / ";0,31;14;26;Muy buena / Oso ona;47;25;Muy buena / Oso ona;11;Muy buena / Oso ona
23/10/2017;16:00;0,23;"Muy buena / ";0,31;7;14;Muy buena / Oso ona;23;21;Muy buena / Oso ona;6;Muy buena / Oso ona
23/10/2017;15:00;0,23;"Muy buena / ";0,32;6;13;Muy buena / Oso ona;23;22;Muy buena / Oso ona;11;Muy buena / Oso ona
23/10/2017;14:00;0,26;"Muy buena / ";0,34;12;18;Muy buena / Oso ona;36;23;Muy buena / Oso ona;18;Muy buena / Oso ona
23/10/2017;13:00;0,3;"Muy buena / ";0,34;18;28;Muy buena / Oso ona;55;18;Muy buena / Oso ona;12;Muy buena / Oso ona
23/10/2017;12:00;0,39;"Muy buena / ";0,33;39;42;Muy buena / Oso ona;102;9;Muy buena / Oso ona;2;Muy buena / Oso ona
23/10/2017;11:00;0,32;"Muy buena / ";0,31;38;39;Muy buena / Oso ona;97;2;Muy buena / Oso ona;0;Muy buena / Oso ona
23/10/2017;10:00;0,38;"Muy buena / ";0,29;52;42;Muy buena / Oso ona;122;8;Muy buena / Oso ona;6;Muy buena / Oso ona
23/10/2017;09:00;0,37;"Muy buena / ";0,27;51;36;Muy buena / Oso ona;113;14;Muy buena / Oso ona;5;Muy buena / Oso ona
23/10/2017;08:00;0,3;"Muy buena / ";0,26;35;39;Muy buena / Oso ona;93;13;Muy buena / Oso ona;6;Muy buena / Oso ona
23/10/2017;07:00;0,38;"Muy buena / ";0,25;36;39;Muy buena / Oso ona;94;12;Muy buena / Oso ona;8;Muy buena / Oso ona
23/10/2017;06:00;0,28;"Muy buena / ";0,23;24;33;Muy buena / Oso ona;70;12;Muy buena / Oso ona;8;Muy buena / Oso ona
23/10/2017;05:00;0,22;"Muy buena / ";0,23;7;24;Muy buena / Oso ona;35;12;Muy buena / Oso ona;5;Muy buena / Oso ona
23/10/2017;04:00;0,23;"Muy buena / ";0,23;7;23;Muy buena / Oso ona;34;10;Muy buena / Oso ona;4;Muy buena / Oso ona
23/10/2017;03:00;0,21;"Muy buena / ";0,24;5;19;Muy buena / Oso ona;27;11;Muy buena / Oso ona;6;Muy buena / Oso ona
23/10/2017;02:00;0,22;"Muy buena / ";0,25;6;17;Muy buena / Oso ona;26;15;Muy buena / Oso ona;1;Muy buena / Oso ona
23/10/2017;01:00;0,23;"Muy buena / ";0,27;5;17;Muy buena / Oso ona;25;11;Muy buena / Oso ona;2;Muy buena / Oso ona
22/10/2017;24:00;0,24;"Muy buena / ";0,29;5;21;Muy buena / Oso ona;29;8;Muy buena / Oso ona;4;Muy buena / Oso ona
22/10/2017;23:00;0,24;"Muy buena / ";0,29;6;24;Muy buena / Oso ona;33;8;Muy buena / Oso ona;4;Muy buena / Oso ona
22/10/2017;22:00;0,26;"Muy buena / ";0,29;6;25;Muy buena / Oso ona;34;13;Muy buena / Oso ona;4;Muy buena / Oso ona
22/10/2017;21:00;0,26;"Muy buena / ";0,29;9;36;Muy buena / Oso ona;49;11;Muy buena / Oso ona;4;Muy buena / Oso ona
22/10/2017;20:00;0,26;"Muy buena / ";0,3;6;32;Muy buena / Oso ona;41;12;Muy buena / Oso ona;4;Muy buena / Oso ona
22/10/2017;19:00;0,3;"Muy buena / ";0,3;9;37;Muy buena / Oso ona;50;15;Muy buena / Oso ona;9;Muy buena / Oso ona
22/10/2017;18:00;0,36;"Muy buena / ";0,29;15;46;Muy buena / Oso ona;68;12;Muy buena / Oso ona;4;Muy buena / Oso ona
22/10/2017;17:00;0,35;"Muy buena / ";0,29;16;40;Muy buena / Oso ona;65;29;Muy buena / Oso ona;10;Muy buena / Oso ona
22/10/2017;16:00;0,26;"Muy buena / ";0,28;11;21;Muy buena / Oso ona;37;28;Muy buena / Oso ona;10;Muy buena / Oso ona
22/10/2017;15:00;0,26;"Muy buena / ";0,28;8;20;Muy buena / Oso ona;33;16;Muy buena / Oso ona;3;Muy buena / Oso ona
22/10/2017;14:00;0,29;"Muy buena / ";0,27;9;24;Muy buena / Oso ona;38;18;Muy buena / Oso ona;11;Muy buena / Oso ona
22/10/2017;13:00;0,29;"Muy buena / ";0,26;10;25;Muy buena / Oso ona;40;26;Muy buena / Oso ona;18;Muy buena / Oso ona
22/10/2017;12:00;0,26;"Muy buena / ";0,25;8;20;Muy buena / Oso ona;31;13;Muy buena / Oso ona;3;Muy buena / Oso ona
22/10/2017;11:00;0,28;"Muy buena / ";0,25;12;24;Muy buena / Oso ona;42;4;Muy buena / Oso ona;0;Muy buena / Oso ona
22/10/2017;10:00;0,33;"Muy buena / ";0,24;17;37;Muy buena / Oso ona;63;4;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;09:00;0,28;"Muy buena / ";0,23;8;29;Muy buena / Oso ona;41;4;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;08:00;0,23;"Muy buena / ";0,22;6;27;Muy buena / Oso ona;36;9;Muy buena / Oso ona;8;Muy buena / Oso ona
22/10/2017;07:00;0,24;"Muy buena / ";0,22;8;23;Muy buena / Oso ona;35;12;Muy buena / Oso ona;5;Muy buena / Oso ona
22/10/2017;06:00;0,21;"Muy buena / ";0,23;6;19;Muy buena / Oso ona;28;8;Muy buena / Oso ona;2;Muy buena / Oso ona
22/10/2017;05:00;0,21;"Muy buena / ";0,24;3;11;Muy buena / Oso ona;15;7;Muy buena / Oso ona;1;Muy buena / Oso ona
22/10/2017;04:00;0,22;"Muy buena / ";0,26;3;11;Muy buena / Oso ona;15;8;Muy buena / Oso ona;5;Muy buena / Oso ona
22/10/2017;03:00;0,2;"Muy buena / ";0,28;2;12;Muy buena / Oso ona;15;9;Muy buena / Oso ona;3;Muy buena / Oso ona
22/10/2017;02:00;0,23;"Muy buena / ";0,29;5;17;Muy buena / Oso ona;24;12;Muy buena / Oso ona;3;Muy buena / Oso ona
22/10/2017;01:00;0,23;"Muy buena / ";0,3;3;14;Muy buena / Oso ona;18;11;Muy buena / Oso ona;4;Muy buena / Oso ona
21/10/2017;24:00;0,27;"Muy buena / ";0,3;7;26;Muy buena / Oso ona;36;14;Muy buena / Oso ona;5;Muy buena / Oso ona
21/10/2017;23:00;0,29;"Muy buena / ";0,29;6;27;Muy buena / Oso ona;36;17;Muy buena / Oso ona;3;Muy buena / Oso ona
21/10/2017;22:00;0,32;"Muy buena / ";0,29;15;35;Muy buena / Oso ona;59;25;Muy buena / Oso ona;12;Muy buena / Oso ona
21/10/2017;21:00;0,31;"Muy buena / ";0,28;14;37;Muy buena / Oso ona;59;29;Muy buena / Oso ona;1;Muy buena / Oso ona
21/10/2017;20:00;0,38;"Muy buena / ";0,28;19;41;Muy buena / Oso ona;70;49;Buena / Ona;5;Muy buena / Oso ona
21/10/2017;19:00;0,29;"Muy buena / ";0,27;13;33;Muy buena / Oso ona;52;42;Buena / Ona;11;Muy buena / Oso ona
21/10/2017;18:00;0,27;"Muy buena / ";0,28;10;23;Muy buena / Oso ona;39;39;Muy buena / Oso ona;37;Buena / Ona
21/10/2017;17:00;0,24;"Muy buena / ";0,29;6;16;Muy buena / Oso ona;25;37;Muy buena / Oso ona;28;Buena / Ona
21/10/2017;16:00;0,25;"Muy buena / ";0,31;6;15;Muy buena / Oso ona;24;43;Buena / Ona;12;Muy buena / Oso ona
21/10/2017;15:00;0,25;"Muy buena / ";0,31;6;16;Muy buena / Oso ona;25;36;Muy buena / Oso ona;16;Muy buena / Oso ona
