NOMBRE,HORARIO,SERVICIO_RUTA,COMEDOR,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,ORIENTACION,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO,Column
Casa de Niños Daniel Vázquez Díaz,,true,true,"METRO: Valdezarza  BUS: 126, 127, 132",ENSEÑANZA: Educación infantil (Primer Ciclo),false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=85133ceac6b4f110VgnVCM2000000c205a0aRCRD,ARMENTEROS,CALLE,NUM,46,,28039,VALDEZARZA,MONCLOA-ARAVACA,439661,4479797,40.464.777.111.936.600,-37.130.226.942.453.900,913 113 496,913 113 496,,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas, 
Casa de Niños Giner de los Ríos,,false,false,"BUS:  24, 102, 103, 111, 144",ENSEÑANZA: Educación infantil (Primer Ciclo),false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cff7d468e4b4f110VgnVCM2000000c205a0aRCRD,MEMBEZAR,CALLE,NUM,25,,28053,ENTREVIAS,PUENTE DE VALLECAS,443366,4470305,40.379.529.471.156.000,-36.684.765.035.279.600,917 860 722,917 860 722,cn.ginerdelosrios.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas, 
Casa de Niños Lope de Vega,,false,false,"METRO: Urgel   BUS: 34 , 35 , 118 , 119",ENSEÑANZA: Educación infantil (Primer Ciclo),false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e26f68540e41c010VgnVCM2000000c205a0aRCRD,INGLATERRA,CALLE,NUM,8,UBICADA EN C. P. LOPE DE VEGA,28019,SAN ISIDRO,CARABANCHEL,438731,4472019,4.039.460.546.257.790,-37.232.402.248.952.800,914 722 560,914 722 560,,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas, 
Casa de Niños Nuestra Señora de la Fuencisla,,false,false,"BUS: 18 , 22 , 59 , 76 , 79 , 85 , 86 RENFE: Doce de Octubre",ENSEÑANZA: Educación infantil (Primer Ciclo),false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fdfd38d60b41c010VgnVCM2000000c205a0aRCRD,TOMELLOSO,CALLE,NUM,40,UBICADA EN C.P. NTRA. SRA FUENCISLA,28026,ALMENDRALES,USERA,440860,4470369,4.037.993.160.366.380,-3.698.002.522.406.680,914 752 598,914 752 598,,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas, 
Casa de Niños República de Brasil,,true,true,"BUS: 18 , 22 , 23 , 59 , 76 , 78 , 79 , 85 , 86 , 123",ENSEÑANZA: Educación infantil (Primer ciclo),false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=387f68540e41c010VgnVCM2000000c205a0aRCRD,FUEROS,AVENIDA,NUM,34,UBICADA EN C. P. REPUBLICA BRASIL,28041,SAN FERMIN,USERA,441571,4469288,4.037.024.359.769.820,-36.895.277.937.794.100,914 758 106,914 758 106,,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas, 
Casa de Niños San Miguel,,false,false,"Metro: Hortaleza Bus: 107 , 120 , 125 , 172",ENSEÑANZA: Educación Infantil (Primer ciclo),false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d2af68540e41c010VgnVCM2000000c205a0aRCRD,VIRGEN DEL CARMEN,AVENIDA,NUM,32,,28033,PINAR DEL REY,HORTALEZA,444823,4480826,4.047.440.638.983.900,-36.522.282.145.254.000,913 820 145,913 820 145,cn.sanmiguel.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas, 
Centro  de Educación Especial Colegio Gaudem,,false,false,BUS: 105,Enseñanzas   Educación especial:   Educación Básica Obligatoria,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b000325a3e78e110VgnVCM2000000c205a0aRCRD,PLAYA DE BARLOVENTO,CALLE,NUM,14,,28042,TIMON,BARAJAS,449767,4480668,404.732.974.354.175,-3.593.893.756.961.970,913 886 477,913 003 202,cc.gaudem.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosPrivadosConcertadosEducacionEspecial, 
Centro Bobath de Formación Profesional,,false,false,Metro: Mirasierra (línea 9)  Bus: 64,Enseñanzas impartidas    Formación Profesional de grado medio   Administración y gestión ( LOE )   Gestión administrativa ( LOE ),false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a35b89455a7eb510VgnVCM1000001d4a900aRCRD,MIRADOR DE LA REINA,CALLE,NUM,115,,28035,MIRASIERRA,FUENCARRAL-EL PARDO,439095,4482683,40.490.742.901.821.500,-37.199.643.932.200.100,913 767 190,913 763 588,secretaria@fundacionbobath.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosFormacionProfesionalPrivadosConcertados, 
"Centro de Educación de Adultos Centro Politécnico a distancia y Editorial CPD, SL",,false,false,"Bus: 67, 83, 125, 178",Enseñanzas    Educación Secundaria Obligatoria para personas adultas ( LOE ),false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=783238d60b41c010VgnVCM2000000c205a0aRCRD,DE SANGENJO,CALLE,NUM,34,,28034,LA PAZ,FUENCARRAL-EL PARDO,440922,4482255,40.487.010.524.957.100,-36.983.790.971.819.800,913 781 432,917 390 931,cpd@cpd.es,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Adultos Cen-Taller Norte Joven Villa de Vallecas,,false,false,"Metro: Villa de Vallecas (línea 1)  Bus: 54, 103, 142",Enseñanzas    Educación Secundaria Obligatoria para personas adultas ( LOE )  Enseñanzas Iniciales Básicas para personas adultas ( LOE ),false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4df34c16151b9210VgnVCM1000000b205a0aRCRD,PEÑA VEIGA,CALLE,NUM,0,,28031,CASCO H.VALLECAS,VILLA DE VALLECAS,447195,4469994,4.037.697.971.344.680,-36.233.455.122.737.700,917 787 095,917 785 046,vallecas@nortejoven.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Adultos Radio ECCA,,false,false,"Metro: Alonso Martínez (líneas 4, 5, 10)  Bus: 3, 37",Enseñanzas:     Educación Secundaria Obligatoria para personas adultas ( LOE ),false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2dc842574b5e7310VgnVCM2000000c205a0aRCRD,HERMANOS ALVAREZ QUINTERO,CALLE,NUM,2,,28004,JUSTICIA,CENTRO,440948,4475616,40.427.205.550.468.200,-36.974.418.090.681.100,915 930 990 ,914 474 045,madrid@radioecca.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Personas Adultas Nazaret,,false,false,"Bus: 31, 55, 119  Metro: Laguna (línea 6)",Enseñanzas    Educación Secundaria Obligatoria para personas adultas ( LOE )  Enseñanzas Iniciales Básicas para personas adultas ( LOE ),false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4f157a7e0a61c010VgnVCM1000000b205a0aRCRD,CUART DE POBLET,CALLE,NUM,6,,28047,LUCERO,LATINA,436305,4472321,4.039.717.979.271.780,-37.518.428.265.178.100,914 654 789,,,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Personas Adultas Oscus - Vallecas,,false,false,"Metro: Nueva Numancia  (línea 1), Portazgo (línea 1)  Bus: 10, 24, 54, 57, 58, 111, 136, 310",Enseñanzas    Educación Secundaria Obligatoria para personas adultas ( LOE )  Enseñanzas Iniciales Básicas para personas adultas ( LOE ),false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=477238d60b41c010VgnVCM2000000c205a0aRCRD,ARROYO DEL OLIVAR,CALLE,NUM,10,,28053,SAN DIEGO,PUENTE DE VALLECAS,443659,4471853,40.393.494.670.954.000,-36.651.621.915.794.900,914 775 995,914 780 975,oscusvallecas@hotmail.com,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Personas Adultas (CEPA)  Cultural Moratalaz,,false,false,"Metro: Artilleros (línea 9)  Bus: 8, 20, 30, 100",,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bcab3b54d771c010VgnVCM1000000b205a0aRCRD,CORREGIDOR ALONSO DE TOBAR,CALLE,NUM,7,,28030,FONTARRON,MORATALAZ,444999,4473009,4.040.399.829.023.210,-36.494.857.943.945.700,914 370 219,914 378 411,cepa.moratalaz.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Personas Adultas (CEPA) Aluche,,false,false,"Metro: Aluche , Eugenia de Montijo (línea 5)  Bus: 17, 31, 121   Renfe: Aluche",,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a27a3b54d771c010VgnVCM1000000b205a0aRCRD,OCAÑA,CALLE,NUM,35,bis,28047,ALUCHE,LATINA,436030,4470956,40.384.871.131.956.900,-37.549.576.087.139.300,917 179 100,917 171 035,cepa.aluche.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Personas Adultas (CEPA) Arganzuela,,false,false,"Metro: Delicias (línea 3)  Bus: 6, 8, 19, 45, 47, 55, 59, 85, 86, 247  Cercanías: Delicias",,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=978a3b54d771c010VgnVCM1000000b205a0aRCRD,BATALLA DEL SALADO,CALLE,NUM,29,,28045,DELICIAS,ARGANZUELA,441038,4472649,4.040.048.368.420.500,-36.961.171.737.949.000,915 395 395,915 395 395,cepa.arganzuela.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Personas Adultas (CEPA) Canillejas,,false,false,"Metro: Las Musas (línea 7)  Bus: 28, 48, 140",,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8c9a3b54d771c010VgnVCM1000000b205a0aRCRD,MUSAS,CALLE,NUM,11,,28022,CANILLEJAS,SAN BLAS-CANILLEJAS,448512,4476732,4.043.776.263.645.110,-36.083.782.410.803.900,917 411 860,913 200 943,cepa.canillejas.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Personas Adultas (CEPA) Cid Campeador,,false,false,Bus: 139  Renfe: Fanjul,,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=71ba3b54d771c010VgnVCM1000000b205a0aRCRD,ANSELMO LORENZO,CALLE,NUM,12,,28044,LAS AGUILAS,LATINA,434692,4470632,4.038.183.942.270.500,-37.706.865.301.632.800,917 058 402,915 095 174,cepa.cidcampeador.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Personas Adultas (CEPA) Ciudad Lineal,,false,false,"Metro: García Noblejas (línea 7)  Bus: 4, 28, 38, 48, 70",,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d28b3b54d771c010VgnVCM1000000b205a0aRCRD,INSTITUCION LIBRE DE ENSE&Ntilde;ANZA,AVENIDA,NUM,70,,28037,PUEBLO NUEVO,CIUDAD LINEAL,446486,4475812,4.042.935.558.002.830,-3.632.187.372.596.630,917 545 206,913 045 783,cepa.ciudadlineal.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Personas Adultas (CEPA) Daoíz y Velarde,,false,false,"Bus: 78, 116  Cercanías: Orcasitas (C5)",,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=66ca3b54d771c010VgnVCM1000000b205a0aRCRD,FERNANDO ORTIZ,CALLE,NUM,2,,28041,ORCASUR,USERA,440442,4468965,40.367.253.786.749.000,-37.027.950.597.553.900,915 651 055,915 697 036,cepa.daoizyvelarde.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Personas Adultas (CEPA) Distrito Centro,,false,false,"Metro: Noviciado (línea 2)  Bus: 3, 147",,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0aea8899fc81c010VgnVCM1000000b205a0aRCRD,SAN BERNARDO,CALLE,NUM,70,Edificio Instituto de Educación Secundaria Lope de Vega,28015,UNIVERSIDAD,CENTRO,440187,4475597,40.426.979.851.696.000,-37.064.224.997.167.300,915 329 959,915 329 959,cepa.centro.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Personas Adultas (CEPA) Dulce Chacón,,false,false,"Metro: Hortaleza , Parque de Santa María (línea 4)  Bus: 9, 107",,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5bda3b54d771c010VgnVCM1000000b205a0aRCRD,ABERTURA,CALLE,NUM,2,,28033,PINAR DEL REY,HORTALEZA,445049,4481134,40.477.196.015.327.300,-36.495.889.651.502.700,913 811 272,917 630 931,cepa.dulcechacon.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Personas Adultas (CEPA) Entrevías,,false,false,"Bus: 102, 103, 111",,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=40fa3b54d771c010VgnVCM1000000b205a0aRCRD,SERENA,CALLE,NUM,394,,28053,ENTREVIAS,PUENTE DE VALLECAS,443278,4469978,40.376.577.663.075.900,-3.669.483.966.695.040,917 861 672,917 852 574,cepa.entrevias.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Personas Adultas (CEPA) Fuencarral,,false,false,"Metro: Fuencarral (línea 10)  Bus: 66, 137",,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=350b3b54d771c010VgnVCM1000000b205a0aRCRD,BRAILLE,CALLE,NUM,10,,28034,VALVERDE,FUENCARRAL-EL PARDO,441338,4483232,40.495.841.261.764.400,-36.935.615.255.165.600,917 364 684,917 340 489,cepa.fuencarral.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Personas Adultas (CEPA) Hortaleza - Mar Amarillo,,false,false,"Metro: San Lorenzo (Línea 4)  Bus: 72, 87",,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2a1b3b54d771c010VgnVCM1000000b205a0aRCRD,MAR AMARILLO,CALLE,NUM,21,,28033,PINAR DEL REY,HORTALEZA,445769,4480852,4.047.470.304.573.570,-3.641.071.021.006.060,917 637 790,913 820 234,cepa.maramarillo.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Personas Adultas (CEPA) Joaquín Sorolla,,false,false,"Metro: Diego de León (líneas 4, 5, 6)  Bus: 12, 72, 73, C2","Enseñanzas    Educación Secundaria Obligatoria para personas adultas ( LOE )  Desarrollo personal - Francés, Inglés, Informática, Informática / Ofimática  Técnico Profesional - Preparación acceso Ciclos Formativos GS  Español para inmigrantes  Enseñanzas iniciales básicas para personas adultas ( LOE )",false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1f2b3b54d771c010VgnVCM1000000b205a0aRCRD,ALONSO HEREDIA,CALLE,NUM,16,,28028,GUINDALERA,SALAMANCA,443042,4476518,4.043.547.750.284.260,-3.672.838.525.590.710,917 261 664  ,917 256 032,cepa.joaquinsorolla.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Personas Adultas (CEPA) José Luis Sampedro,,false,false,"Metro: Peñagrande (línea 7)   Bus: 42, 49, 126, 128",,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=044b3b54d771c010VgnVCM1000000b205a0aRCRD,CHANTADA,CALLE,NUM,34,,28029,EL PILAR,FUENCARRAL-EL PARDO,439653,4480756,4.047.341.555.776.930,-3.713.208.438.461.470,913 781 949,917 301 887,cepa.sampedro.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Personas Adultas (CEPA) La Albufera,,false,false,"Metro: Portazgo , Nueva Numancia (línea 1)  Bus: 10, 54, 57, 58, 136",,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f85b3b54d771c010VgnVCM1000000b205a0aRCRD,NUESTRA SEÑORA DEL PERPETUO SOCORRO,CALLE,NUM,23,,28053,PALOMERAS BAJAS,PUENTE DE VALLECAS,443861,4471776,4.039.281.467.633.500,-36.627.753.755.676.900,914 789 325,914 785 525,cepa.laalbufera.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
Centro de Educación de Personas Adultas (CEPA) Las Rosas,,false,false,"Metro: Alsacia (línea 2)  Bus: 4, 38, 48, 70",,false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0bc238d60b41c010VgnVCM2000000c205a0aRCRD,ARCOS DE JALÓN,CALLE,NUM,9,,28037,ARCOS,SAN BLAS-CANILLEJAS,447162,4474908,40.421.246.097.142.700,-36.241.429.179.989.900,913 065 816,913 132 523,cepa.lasrosas.madrid@educa.madrid.org,/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos, 
