"Projekt ID";Název;Kategorie;"Souøadnice z. délky";"Souøadnice z. šíøky";Adresa;Web;Cena;Stav;Cíl1;Cíl2;Cíl3;Cíl4;Cíl5;Lokace;Od;Do;"Nositel projektu";Popis
;"Modernizace a obnova pøístrojového vybavení komplexního onkologického centra FN u sv. Anny v Brnì";"Vzdìlání, vìda, vızkum a inovace";49.1913253;16.5987767;"Pekaøská 664/53";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=57042;55640000;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Brno-Støed;12/2009;12/2010;"Fakultní nemocnice u sv. Anny v Brnì";"Modernizace, obnova a poøízení novıch zdravotnickıch prostøedkù (dále ZP) a jejich pøíslušenství v rámci projektu Fakultní nemocnice u sv. Anny (dále jen FN u sv.Anny) se zamìøuje na zvıšení úrovnì kvality vybavení Komplexního onkologického centra FN u sv.Anny v oblasti diagnostickıch zobrazovacích metod, laboratorního vybavení a vybavení pro miniinvazivní zákroky a peroperaèní zobrazování pøi léèbì onkologicky nemocnıch v rozsahu daném 4. Vızvou MZ.  KOC FN u sv. Anny zajišuje komplexní onkologickou léèbu pacientù s nádorovım onemocnìním - radioterapii, chemoterapii, hormonální léèbu, imunoterapii, vèetnì léèby biologické, léèbu, preventivní, paliativní, podpùrnou a symptomatickou, dále také èinnost konziliární a péèi specializovanou i superspecializovanou. Cíle a vıstupy pøedkládaného projektu jsou v souladu se strategickımi zámìry rozvoje FN u sv.Anny, koncepcí rozvoje komplexní onkologické péèe ÈR, reflektují trendy i aktuální stav poptávky po péèi o pacienty ve spádové oblasti a v rámci ní postavení a monosti fakultní nemocnice, je je zároveò klinickım zázemím pro vıuková pracovištì.  Cíle a vıstupy projektu jsou také v souladu s cíli oblasti intervence 3.2 IOP, prioritní osy 3 IOP i cíle Integrovaného operaèního programu. Realizace projektu bude mít pozitivní dopad na celou cílovou skupinu."
;"Modernizace a obnova pøístrojového vybavení komplexního onkologického centra FN Brno";"Vzdìlání, vìda, vızkum a inovace";49.1743831;16.5765792;"Jihlavská 340/20";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=56915;80000000;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Bohunice;12/2009;10/2010;"Fakultní nemocnice Brno";"Modernizace, obnova a poøízení novıch zdravotnickıch prostøedkù (dále ZP) a jejich pøíslušenství v rámci projektu Fakultní nemocnice Brno (dále jen FN Brno) se zamìøuje na zvıšení kvality laboratorní diagnostiky, diagnostiky s vyuitím zobrazovacích technologií a invazivních zobrazovacích technologií v léèbì onkologicky nemocnıch. Projekt modernizací a rozšíøením stávajícího vybavení KOC FN Brno v rozsahu daném 4. Vızvou MZd, je vıznamnım pøínosem pøedevším v oblasti diagnostickıch moností pro zvıšení úrovnì kvality péèe o onkologicky nemocné pacienty. KOC FN Brno zajišuje komplexní interdisciplinární péèi o onkologicky nemocné pacienty, vèetnì hematoonkologické péèe a péèe o dìtské pacienty, pro celı Jihomoravskı kraj, ve specifickıch oblastech péèe - zejména v oblasti hematoonkologie a dìtské onkologie, také pro všechny moravské kraje.  Cíle a vıstupy pøedkládaného projektu jsou v souladu se strategickım programem FN Brno, koncepcí rozvoje komplexní onkologické péèe ÈR, reflektují trendy i aktuální stav poptávky po péèi o pacienty ve spádové oblasti a v rámci ní postavení a monosti fakultní nemocnice, je je zároveò klinickım zázemím pro vıuková pracovištì. Cíle a vıstupy projektu naplòují cíle oblasti intervence 3.2 IOP, prioritní osy 3 IOP i cíle Integrovaného operaèního programu. Realizace projektu bude mít pozitivní dopad na celou cílovou skupinu."
;"Modernizace a obnova pøístrojového vybavení traumatologického centra FN Brno";"Vzdìlání, vìda, vızkum a inovace";49.1743831;16.5765792;"Jihlavská 340/20";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=41043;81690000;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Bohunice;03/2009;11/2009;"Fakultní nemocnice Brno";"Obnova, modernizace a poøízení novıch zdravotnickıch prostøedkù, jejich sestav a pøíslušenství v rámci projektu Fakultní nemocnice Brno (dále jen FN Brno) se zamìøuje na zvıšení úrovnì standardu vybavenosti Traumacentra FN Brno (TC FN Brno). Vıstupem projektu bude obnova, modernizace vybavení chirurgickıch sálù, resuscitaèních lùek pro dìti i dospìlé, vybavení pro hemodialızu a hemofitraci a doplnìní vybavení diagnostickımi zobrazovacími technologiemi. Pøínosem realizace projektu bude zvıšení kvality vybavenosti a tím zlepšení podmínek pro zajišování specializované péèe o pacienty se závanımi poranìními, kteøí jsou èasto pøiváení do TC FN Brno v ohroení ivota. Projekt je obnovou, modernizací a rozšíøením stávajícího vybavení TC FN Brno v rozsahu daném 1.Vızvou MZd pøínosem pro oblast resuscitace, invazivních zákrokù a diagnostiky. TC FN Brno zajišuje komplexní péèi o dospìlé pacienty se závanımi poranìními, vèetnì superspecializované péèe a metodického vedení specializovanıch pracoviš v rámci Jihomoravského kraje a kraje Vysoèina, pro dìtské pacienty v rámci Jihomoravského, Zlínského kraje a kraje Vysoèina. Cíle a vıstupy pøedkládaného projektu jsou v souladu s plány rozvoje TC FN Brno, koncepcí traumatologické péèe ÈR, reflektují trendy potøebnosti péèe o pacienty se závanımi poranìními ve spádové oblasti a v rámci ní postavení a monosti fakultní nemocnice. Cíle a vıstupy projektu také odpovídají a naplòující cíle oblasti intervence 3.2 IOP, prioritní osy 3 IOP i cíle Integrovaného operaèního programu, vzájemnì se potencují s vıstupy oblasti intervence 3.4 IOP. Realizace projektu bude mít pozitivní dopad na celou cílovou skupinu (tj. obyvatele mìst i vesnic ve spádové oblasti, co nelze v ádosti Benefit - èást horizontální kritéria, vyznaèit)."
;"Obmìna systému pro simulaci, plánování a verifikaci pro radioterapii vèetnì dozimetrické podpory";"Vzdìlání, vìda, vızkum a inovace";49.1945306;16.5890942;"lutı kopec 543/7";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=41447;69493000;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Brno-Støed;04/2009;09/2009;"MASARYKÙV ONKOLOGICKİ ÚSTAV";"Modernizace, obnova a dílèí rozšíøení kapacit èi funkcí pøíslušenství zdravotnickıch prostøedkù v rámci projektu Masarykova onkologického ústavu (dále jen MOÚ) se zamìøuje na zvıšení kvality radiaèní léèby onkologicky nemocnıch a zlepšení opatøení pro bezpeènost pacientù a ošetøujícího personálu pøi zacházení s technologiemi vyuívajícími ionizujícího záøení. Projekt modernizací a dílèím rozšíøením funkcí verifikaèního a plánovacího systémù radioterapie provádìné Klinikou radiaèní onkologie v rozsahu daném 1.Vızvou MZ, je pøínosem v oblasti radioterapeutickıch postupù a modernizace dozimetrickıch systému je podmínkou pro udrení úrovnì bezpeènosti osob. MOÚ je poskytovatelem zdravotní péèe, která je celım svım spektrem zamìøena na diagnostiku a léèbu onkologickıch onemocnìní, jeho spádovou oblastí v urèitıch oblastech superspecializované péèe je celá Èeská republika, je garantem eurokompatibilní koncepce onkologie pro OECI a EC, na národní úrovni garantem organizaèních a inovaèních èinností s celostátním dopadem (napø.nádorová epidemiologie, metodologie akreditací v onkologickıch oborech, hodnocení kvality péèe v onkologii, realizace novıch pøístupù v onkologické prevenci, vedení banky nádorù).  Cíle a vıstupy pøedkládaného projektu jsou v souladu se Strategickım zámìrem MOÚ, koncepcí rozvoje komplexní onkologické péèe ÈR, reflektují trendy i aktuální stav poptávky po péèi o pacienty ve spádovıch oblastech, naplòující cíle oblasti intervence 3.2 IOP, prioritní osy 3 IOP i cíle Integrovaného operaèního programu. Realizace projektu bude mít pozitivní dopad na celou cílovou skupinu (tj. obyvatele mìst i vesnic ve spádové oblasti, co nelze v ádosti Benefit - èást horizontální kritéria, vyznaèit); indikátory projektu vztaené k úrovni standardu vybavenosti se realizací projektem nezmìní - vzhledem k zamìøení projektu pouze na obnovu a modernizaci stávajícího vybavení."
;"Metropolitní sí BRNO - propojení Magistrátu s úøady mìstskıch èástí - fáze III";"Strategické projekty mìsta Brna";49.1939214;16.6061069;"Dominikánské námìstí 196/1";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=96943;72072000;Dokonèeno;"1.1. Získat pozitivní a dynamickı profil mìsta";;;;;Brno-Støed;05/2011;03/2012;"Statutární mìsto Brno";"Základním cílem projektu je vybudování komplexní Metropolitní sítì, která má zajistit plnohodnotné vyuití IS v souladu s vizemi a cíli stanovenımi mìstem Brnem ve Strategii pro Brno.  Projekt má jednoznaènou vazbu na podporované aktivity/operace dle Provádìcího dokumentu IOP: b) budování komunikaèní infrastruktury územní veøejné správy: - vıstavba datovıch sítí pro potøeby slueb veøejné správy a veøejnıch slueb - projekty øešící vybudování komplexních standardizovanıch informaèních a komunikaèních systémù.  Projekt má pozitivní vliv na všechny vrcholy, kromì vrcholu legislativa, na ten má neutrální. Vıstupy projektu budou uívat primárnì úøedníci MMB a mìstskıch èástí, zprostøedkovanì pak i obèané mìsta. Realizace projektu bude kombinací dodavatelskıch èinností a èinností zajištìnıch interním tımem. Bez realizace projektu nelze pracovat na jednotnıch datovıch základnách, které budou stejné pro celé Brno - vazba na pøipojené subjekty. Více viz. studie proveditelnosti."
;"eGovernment v kraji, èást vızvy I.-VI.";"Strategické projekty mìsta Brna";49.1987461;16.6044297;"erotínovo námìstí 449/3";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=97696;158800000;Dokonèeno;"1.1. Získat pozitivní a dynamickı profil mìsta";;;;;Brno-Støed;01/2009;12/2014;"Jihomoravskı kraj";"Hlavním cílem projektu je modernizace územní veøejné správy v Jihomoravském kraji a zkvalitnìní a zefektivnìní slueb veøejné správy prostøednictvím vyššího vyuití informaèních a komunikaèních technologií v území. Znaènou èást projektu by tedy mìlo pøedstavovat poøízení novıch technologií a software. V projektu bude JMK realizovat tyto aktivity: pøedkládanı projektje vìcnì zamìøen na vybudování technologického centra JMK, na zøízení elektronické spisové sluby pro pøíspìvkové organizace, na vnitøní integraci jednotlivıch agend úøadu do jednoho celku, na vybudování datovıch skladù a BI, na digitální mapu veøejné správy a øešení digitalizace a ukládání dokumentù. Celı projekt se skládá z vıše uvedenıch èástí.Pøedkládanım projektem chce JMK pøispìt k naplnìní cílù v oblasti zefektivnìníèinnosti úøadù veøejné správy, zajištìní jejich maximální dostupnosti, kvality a hospodárnosti."
;"Vytvoøení Národní digitální knihovny";"Vzdìlání, vìda, vızkum a inovace";49.2086478;16.5940278;"Kounicova 996/65a";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=67095;99677684;Dokonèeno;"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;;Brno-Støed;01/2008;12/2014;"Národní knihovna Èeské republiky";"Projekt Vytvoøení Národní digitální knihovny (NDK) je jedním z pilíøù konceptu eCulture, kterım sektor kultury vıznamnì pøispívá k naplòování cílù Smart Administration v souladu s pøipravovanou Národní strategií digitalizace kulturního obsahu. Zámìrem projektu je zpøístupnìní faktografického a kulturního informaèního potenciálu bohemikálních dokumentù široké veøejnosti prostøednictvím Portálu veøejné správy, vybudování dvou digitalizaèních center a nasazení masové digitalizace (26 000 000 stran, 4 000 000 000 webovıch souborù). Pro dlouhodobou ochranu digitálních objektù a pøístup k nim bude vybudován dùvìryhodnı digitální repozitáø. Existující i nové digitální obsahy budou uivatelsky vlídnì zpøístupnìny rùznım skupinám uivatelù. Systém NDK bude zapojen do vznikající Èeské digitální knihovny, Národního kulturního portálu Czechiana, evropského systému Europeana a World Digital Library. Projekt je navren v partnerství Národní knihovny ÈR a Moravské zemské knihovny."
;"Univerzita obrany - Materiálové a technologické inenırství";"Vzdìlání, vìda, vızkum a inovace";49.2123578;16.5970092;"Šumavská 143/4";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=118468;65494121;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;"Královo Pole";12/2013;06/2015;"Ministerstvo obrany";"Obsahem pøedkládaného projektu je rekonstrukce budovy è. 8 v kasárnách Šumavská 4. Celkem se jedná o provedení rekonstrukce na ploše 1253 m2. Vzhledem ke skuteènosti, e èást budovy se nachází v nevyhovujícím technickém stavu, je nutné provést následující stavební úpravy: jde pøedevším o vytvoøení 11 pracoven pro uèitele katedry a 1 jednací místnosti v pùdní vestavbì budovy; dále provedení technickıch úprav objektu nezbytnıch pro vybudování 5 laboratoøí, které jsou v souèasnosti umístìny v nevyhovujících prostorech a jsou limitujícím faktorem pro další rozvoj vzdìlávací a vızkumné èinnosti fakulty; dále technické úpravy 3 poslucháren a vybudování 1 osobonákladního vıtahu pro bezbariérovı pohyb po budovì.  Vıèet stavebních úprav: 1) øešení 5 laboratoøí - stavební úpravy a zajištìní antivibraèní a antistatické podlahy a rekonstrukce elektroinstalace (silnoproud, slaboproud), 2) optimalizace 3 uèeben - stavební úpravy a vybudování stupòovité podlahy,  3) pùdní vestavbu s vytvoøením 11 pracoven, dále zasedací místnost, sociální zaøízení a kuchyòky, 4) izolace budovy proti zemní vlhkosti v dvorní èásti, 5) zateplení budovy, 6) vybudování parkovištì, rekonstrukce zpevnìné plochy pøed budovou, 7) instalace venkovního osobonákladního vıtahu s nástupními stanicemi pro 1. - 4. nadzemní podlaí, 8) úprava trafostanice, 9) oprava støechy."
;"VIDA! - Moravian Science Centre Brno";"Vzdìlání, vìda, vızkum a inovace";49.1863778;16.5840917;"Køíkovského 554/12";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=100010;571979187;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;Brno-Støed;01/2012;11/2014;"Jihomoravskı kraj";"Cílem projektu MSCB je vytvoøit ve mìstì Brnì SLC, jedineèné centrum popularizace a medializace vìdy a techniky. Projekt svım zamìøením øeší aktuální problémy na poli VaV. Projekt koresponduje s rozvojovımi strategiemi adatele a má vıznamné synergické vazby s dalšími projekty realizovanımi v oblasti VaV. MSCB bude situováno v jihozápadní èásti mìsta Brna, v pavilonu D, BVV, a.s. Lokalita je z hlediska silnièní dopravy vıbornì dostupná. Vıznamnou pøedností MSCB je jeho jedineènost v široké spolupráci s rùznorodımi univerzitami a dalšími zapojenımi subjekty a také v tematickém zamìøení hlavní expozice, která je pestrá a nabízí k porozumìní a poznání rùzné èásti lidského bytí. Do projektu je zapojeno 7 spolupracujících subjektù-Masarykova univerzita, Mendelova univerzita v Brnì, Vysoké uèení technické v Brnì, Veterinární a farmaceutická univerzita Brno, Akademie vìd ÈR, Centrum dopravního vızkumu, v.v.i., Regionální a technické muzeum o.p.s. Realizace projektu je naplánována ve fázích pøípravné (10/2009-12/2011),realizaèní (1/2012-8/2014) a provozní (9/2014+). Klíèovımi aktivitami projektu jsou: pøíprava projektu, nákup budovy pavilonu D, rekonstrukce pavilonu D a pøíprava, instalace expozice a pøíslušného vybavení a zkušební provoz centra.Celá expozice je navrena tak, e se po ní návštìvníci volnì pohybují mezi jednotlivımi exponáty a sami si vybírají, co si vyzkouší, zda se zamìøí jen na urèitou èást expozice, která je nejvíce pøitahuje, nebo absolvují vıukovou trasu od globálních jevù po mikroskopické. MSCB bude originálním SLC i díky dalším aktivitám: Dìtské science centrum, Divadlo vìdy, Dílny pro návštìvníky, Discovery rooms, Multifunkèní sál, Doèasné vıstavní plochy. Øízení projektu bude organizaènì zajištìno prostøednictvím odborného a realizaèního tımu. Provoz MSCB zajistí novì zøízená pøíspìvková organizace MSCB p.o. Na krytí provozní ztráty se budou podílet rovnou mìrou JMK a Statutární mìsto Brno. Celkové zpùsobilé vıdaje projektu jsou 596.502.156,- Kè."
;"Rozš. nár. info. infr. pro VaV v regionech (eIGeR)";"Vzdìlání, vìda, vızkum a inovace";49.2015406;16.6036139;"Antonínská 548/1";"http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=95493, https://www.cesnet.cz/projekty/eiger/lokality-realizace/";99880829;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;Brno-Støed;05/2011;10/2013;"CESNET - ZÁJMOVÉ SDRUENÍ PRÁVNICKİCH OSOB";"Hlavním cílem projektu ""Rozšíøení národní informaèní infrastruktury pro VaV v regionech"" je vybudování regionálního základu komplexní národní e-infrastruktury pro VaV v ÈR, která v sobì zahrnuje všechny integrální sloky nezbytné pro poskytování slueb s vysokou pøidanou hodnotou. Jde zejména o: a)	zvıšení kapacity komunikaèní infrastruktury nasazením vıkonnìjších síovıch prvkù;  b)	zvıšení kapacity pøístupovıch rozhraní;  c)	posílení vıpoèetního vıkonu MetaCentra, vytvoøení základu NGI;  d)	vybudování tøí velkokapacitních úloiš umoòujících ukládání a sdílení velkého mnoství dat, vèetnì jejich støednìdobé a dlouhodobé archivace;  e)	zvıšení kapacity a posílení infrastruktury pro realizaci videokonferencí; a to tak, aby infrastruktura odpovídala oèekávanım poadavkùm na objem, obsah a charakter datové komunikace v nejbliší budoucnosti se zvláštním zøetelem na novì vznikající vızkumné infrastruktury v regionech a jejich zapojení do Evropského vızkumného prostoru. Na konci projektu bude tato kvalitativnì nová e infrastruktura poskytovat sluby minimálnì 60 organizacím ve VaV, èi jejich vızkumnım infrastrukturám, se sídlem v regionech. Jedná se zejména o subjekty, které vyuívají síové sluby souèasné sítì CESNET2 a po ukonèení projektu se stanou odbìrateli novıch slueb komplexní e-infrastruktury. Projekt ""Rozšíøení národní informaèní infrastruktury pro VaV v regionech"" svım zamìøením naplòuje hlavní i specifické cíle vızvy 2.3 - Informaèní infrastruktury pro VaV, prioritní osy 3, oblasti podpory 3.2., toti posílení a zintenzivnìní propojení vìtšího mnoství pracoviš vızkumu a vıvoje ÈR, jejich vıpoèetních, úlonıch a informaèních kapacit a také jejich integraci do EVP právì skrze tvorbu, rozvoj a modernizaci informaèních infrastruktur pro VaV."
;"Fakultní nemocnice u sv. Anny v Brnì - Mezinárodní centrum klinického vızkumu (FNUSA - ICRC)";"Vzdìlání, vìda, vızkum a inovace";49.1913253;16.5987767;"Pekaøská 664/53";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=95106;2106586850;"Pøíprava a realizace";"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;Brno-Støed;04/2011;;"Fakultní nemocnice u sv. Anny v Brnì";"Cílem projektu FNUSA - ICRC je vybudovat na území Èeské republiky špièkové mezinárodní centrum pro oblast lékaøského vızkumu, které díky unikátní logistice mezinárodní vìdecké spolupráce, zaloené na koncepci tzv. dynamickıch vìdeckıch tımù a originálnímu systému tzv. flexibilních vìdeckıch laboratoøí dokáe urychlit vıvoj novıch prùlomovıch léèebnıch a diagnostickıch strategií, novıch technologií vèetnì bio- a nanotechnologií a novıch lékù a o 50% a to pøi respektování všech nejpøísnìjších mezinárodních norem pro etiku a bezpeènost vızkumu. Souèasnì umoní ICRC realizaci vızkumnıch projektù, které svım rozsahem a kvalitou nebylo dosud moné uskuteènit. Hlavním strategickım partnerem je americká instituce Mayo Clinic, která bıvá oznaèována za nejprestinìjší zdravotnické zaøízení na svìtì. Projekt ICRC pøedstavuje platformu pro vytvoøení tìsné euro-americké spolupráce a sdílení know-how v oblasti lékaøského vızkumu, vıvoje pokroèilıch technologií, vzdìlávání, high-tech prùmyslovıch vırob a lékaøské péèe. Projekt ICRC byl schválen vládním usnesením èíslo 239/2006 jako strategickı projekt Èeské republiky v oblasti rozvoje lékaøského vızkumu, lékaøského vzdìlávání, znalostní ekonomiky a veøejné lékaøské péèe.  ICRC bude po svém dokonèením teprve tøetím mezinárodním vızkumnım støediskem - po Evropském støedisku pro jadernı vızkum (CERN) a Mezinárodní kosmické stanici (ISS) a vùbec prvním mezinárodním centrem v oblasti lékaøského vızkumu. Prioritním zamìøením ICRC bude kardiovaskulární, neurovìdní vızkum s monımi pøesahy do onkologie a dalších oborù.  Pro dosaení tìchto cílù je ICRC navreno jako multifunkèní celek, kterı v sobì kombinuje ètyøi základní prvky: -Vìdecko-vızkumnou základnu nové generace -Technologickı park -Mezinárodní školící støedisko -Špièkové veøejné zdravotnické zaøízení poskytujícího klinickou a léèebnì-preventivní péèi v oblasti kardiovaskulárních a neurovìdních programù podle posledních poznatkù lékaøské vìdy"
;"CzechGlobe - Centrum pro studium dopadù globální zmìny klimatu";"Vzdìlání, vìda, vızkum a inovace";49.1869997;16.5929997;"Bìlidla 986/4a";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=83389;58902534;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;Brno-Støed;12/2010;12/2014;"Centrum vızkumu globální zmìny AV ÈR, v. v. i.";"Projekt CzechGlobe smìøuje k vytvoøení infrastruktury Centra excelence zamìøeného na studium dopadù globální zmìny klimatu (GZK) na biologické a socio-ekonomické systémy a vychází z dlouholeté tradice vızkumu adatele a z priorit Dlouhodobıch základních smìrù vızkumu ÈR. Centrum má vıraznou souvislost s mezinárodními, pøedevším Evropskımi, vızkumnımi aktivitami v rámci ESFRI (projekt ICOS). Koordinaèní radou ICOS je povaován za vıznamnı støedoevropskı element sítì ICOS a má plnit i funkci training centre a koordinátora spolupráce se zemìmi (jiho)vıchodní Evropy. Centrum je prostorovì distribuovanou infrastrukturou tvoøenou sítí monitorovacích stanic, laboratorního a experimentálního zázemí pro studium a modelování dopadù GZK v rùznıch hierarchickıch úrovních biosféry. Pro pokrytí variability území ÈR budou vyuity metody dálkového prùzkumu Zemì. Finanèní stabilita vychází z historickıch vınosù adatele a jejich oèekávaného navıšení souvisejícího s vybudováním špièkové infrastruktury. Financování je pøimìøenì diverzifikováno jak na národní, mezinárodní zdroje, tak smluvní vızkum. Vıznam projektu potvrzuje zaøazení do ""Èeské roadmap vızkumnıch infrastruktur"". Realizací projektu dojde k obousmìrnému propojení na svìtová centra špièkového vızkumu, co dokládají pøiloené zájmy o spolupráci. Doloená poptávka po vıstupech Centra potvrzuje vysokı zájem jak ze sféry badatelské, uivatelské/ aplikaèní, edukaèní, tak i ze sféry rozhodovací. Klíèovımi aplikaèními vıstupy jsou zejména vyuitelné scénáøe vıvoje GZK, hodnocení socio-ekonomickıch dùsledkù, podklady pro emisní strategii CO2, dlouhodobá kvantifikace uhlíkovıch úloiš, adaptace rostlin na GZK, metodické podklady pro vıvoj systému ""Carbon-landscaping and Forestry"", produkci energie z biomasy rychle rostoucích døevin. Inovaèním vıstupem bude zejména vıvoj systémù ""clean energy"" - biologické odstraòování CO2 pøi produkci energie a produkci biopaliv 3. generace. Centrum bude i vıznamnım místem edukaèních programù."
;"Centrum excelence IT4Innovations";"Vzdìlání, vìda, vızkum a inovace";49.2265439;16.5971161;"Boetìchova 1/2";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=96377;368187133;"Pøíprava a realizace";"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;"Královo Pole";07/2011;;"VYSOKÁ ŠKOLA BÁÒSKÁ-TECHNICKÁ UNIVERZITA OSTRAVA";"Globálním cílem projektu CE IT4Innovations je vybudovat vızkumné kapacity potøebné k realizaci excelentního vızkumu v oblasti supercomputingu a informaèních technologií. V této souvislosti bude v projektu poøízena odpovídající vızkumná infrastruktura a vytvoøeno vızkumné prostøedí zamìøené na rozvoj jak vıpoèetních metod jako takovıch (IT jako pøedmìt vızkumu), tak pøedevším nástrojù pro jejich efektivní vyuití (IT jako prostøedek pro další vızkum èi aplikaèní vyuití). Projekt CE IT4Innovarions bude postaven na spolupráci a zkušenostech pìti subjektù.  Specifické cíle: a.	vybudovat v Èeské republice hlavní kompetenèní centrum v oblasti øešení vıpoèetnì nároènıch úloh, tzv. superpoèítaèové centrum; b.	vytvoøit kvalitní vızkumné tımy produkující mezinárodnì uznávané vısledky s vıraznım aplikaèním potenciálem;  c.	bıt hlavním koordinátorem a tvùrcem aktivit zamìøenıch na rozvoj a vyuití superpoèítání v ÈR v souladu s iniciativami a podporou EU v této oblasti; d.	zabezpeèit produkci vysoce kvalifikovanıch a zamìstnatelnıch absolventù v oborech IT a vıpoèetní matematiky e.	pøispìt k regionálnímu rozvoji zejména v Moravskoslezském a Jihomoravském kraji  Vizí Centra excelence IT4Innovations je stát se národním centrem excelentního vızkumu v oblasti informaèních technologií v ÈR s dùrazem na rozvoj a aplikace superpoèítaèovıch metod."
;"Vzdìlávání a dovednosti pro trh práce";"Vzdìlání, vìda, vızkum a inovace";49.2003906;16.6114344;"Milady Horákové 1970/3";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?Id=113057;51436413;Dokonèeno;"1.1. Získat pozitivní a dynamickı profil mìsta";;;;;Brno-Støed;06/2013;12/2015;"Ministerstvo práce a sociálních vìcí";"Projekt je zamìøen na realizaci poradenskıch èinností a rekvalifikací pro uchazeèe a zájemce o zamìstnání evidované na ÚP ÈR s cílem zvıšit jejich šance na znovuuplatnìní na trhu práce.  Poradenské èinnosti jsou zamìøeny na ty, kteøí mají obtíe v orientaci na trhu práce a hledají monosti efektivního vyhledávání zamìstnání èi hledají odpovìdi na otázky tıkající se svého pracovního potenciálu. V rámci tìchto aktivit budou prostøednictvím nácviku rùznıch technik získávány kompetence potøebné pro vyhledávání zamìstnání a komunikaci se zamìstnavateli. Ve specifickıch pøípadech dlouhodobì nezamìstnanıch osob nebo osob spadajících do skupin více ohroenıch nezamìstnaností je tøeba poskytnout tìmto osobám individuální podporu a asistenci. Smyslem rekvalifikaèních kurzù, které jsou zamìøeny na získání odbornıch znalostí a kompetencí vyadovanıch na trhu práce, je zvıšit uplatnitelnost a zamìstnatelnost uchazeèù a zájemcù o zamìstnání. V rámci rekvalifikací budou podporovány jak rekvalifikace zabezpeèované jako nákup slueb, tak zvolené rekvalifikace, které si vybírají pøímo podpoøené osoby. V rámci projektu bude té kladen dùraz na zjišování aktuální poptávky zamìstnavatelù po absolventech urèitıch rekvalifikací tak, aby bylo moné uchazeèùm a zájemcùm o zamìstnání nabízet pøedevším takové rekvalifikace, u nich v pøípadì úspìšného absolvování existuje pøedpoklad rychlého získání zamìstnání. V rámci projektu se poèítá té s doprovodnımi aktivitami (cestovné, ubytování, stravné, lékaøské posudky), které umoní hradit vedlejší náklady rekvalifikací a poradenskıch èinností, které by jinak pro nìkteré osoby z cílové skupiny mohly bıt limitujícím faktorem v úèasti na projektu. Realizace poradenskıch èinností, rekvalifikací a doprovodnıch aktivit bude probíhat prostøednictvím ÚP ÈR, resp. jeho krajskıch poboèek a kontaktních pracoviš. (ÚP ÈR bude partnerem projektu s finanèním pøíspìvkem)."
